Age,Study_Hours,Attendance,Marks
24,3.779355965305331,68.26737439506982,58.8
21,4.367668206380455,70.95844509284535,61.06
22,2.0351515062821735,68.58356478833497,33.57
24,4.542304967521968,75.09036332911903,76.18
20,6.925282579999404,61.55852529240934,78.71
22,4.580615126326004,84.73015537351571,73.21
22,3.451914138506992,73.46216859554906,66.53
24,4.280443709416025,86.22890541522969,69.87
19,6.448166503051754,75.4158648386226,80.78
20,4.488470726082115,87.26454675891159,77.91
24,6.699842408124699,73.6249827785696,85.35
20,2.3773515484977814,70.42778112943613,50.12
20,3.259390090877852,79.84149817173625,50.4
22,3.9867135607369524,87.71561434767757,73.01
21,2.3800986255750516,73.93346417812789,50.49
20,10.887326832962568,97.46592607422829,119.23
23,2.807468409437289,61.56745306702585,49.51
22,6.829768643852024,76.71784126862315,75.01
19,3.6678787595391427,98.7032220608099,80.53
21,3.972425016983508,81.9188753299235,59.04
23,5.602645601899269,76.93883769232474,83.66
23,2.0829661580264847,82.74081134999832,45.7
19,3.674523373243573,83.03698301032338,65.41
21,4.707054386516767,89.26591021198561,68.8
22,3.307965967088588,65.10758917689863,57.49
18,3.355021262439875,70.00065796864419,53.66
21,7.173454046078548,83.22176049375639,93.02
19,7.009973761405265,94.68466428838889,94.03
23,4.116467953547974,82.47466768575094,59.09
22,4.8316698296376455,69.5438743916136,68.99
21,7.474032145872923,87.19379119600984,92.15
18,2.147042230548895,89.59635041789498,58.24
18,5.676045317750283,69.52944609615918,72.04
20,8.949142393906973,75.10915544705179,101.25
20,8.930069527850929,81.37309894122254,112.4
24,1.1201775627935135,79.8624476273231,52.81
19,3.4747460715696965,75.58472344876813,61.96
21,5.337318774386589,71.90540698037243,70.03
21,2.356246098733122,63.99939548647453,42.58
24,3.6635066017351754,62.13941186989476,50.07
23,4.72541799264146,98.34165987532793,74.01
23,7.802643129387249,93.88572576382359,98.61
24,4.909194689426327,74.19620761850882,78.77
23,5.4338734523246845,98.27203540505826,81.79
20,6.024847464743207,87.07079617697212,76.9
21,6.086977382484872,79.3008379857057,80.62
24,5.056198926696403,79.72102631087219,73.23
21,2.6058258733233943,63.331376447810385,46.36
18,6.5793456095013445,63.668165890339246,82.1
20,5.862978926526084,84.09763703604476,80.89
22,2.806495402845621,82.14812209383203,59.15
20,3.6353968721594554,68.50911580096916,52.59
24,6.775023228832538,97.84778171526762,102.24
22,6.21096626169535,91.2518420188481,87.45
18,3.5594040142823737,64.53858408069792,56.29
24,4.460132461848619,97.2371642274917,70.65
19,4.713075540738622,98.9699283413764,79.65
21,6.23400755143026,99.83724968121317,93.06
18,7.497881398279822,62.234846187094,79.03
21,5.131298316222449,89.48142227164035,68.55
23,7.3384152939052445,81.83663080659956,92.91
19,6.746633938178853,88.23325935514778,86.82
19,5.411300268013341,98.7460777589654,84.09
18,2.1130332966075227,87.52120040700156,45.46
19,2.9445782718230222,93.47855496949495,53.15
22,6.482481270090436,94.67474821243366,90.76
19,1.578940842949938,93.53923055055941,48.3
21,5.237956983791971,77.04365900187764,62.17
21,7.00097121552421,68.90305670284123,90.28
24,5.304841724518519,75.86606407817007,66.25
21,3.797205508856547,95.67587635107107,81.51
24,3.306771286270407,65.86419286768103,49.68
21,6.632305445762741,80.53304674769572,87.28
22,5.943414583053958,69.32912289698112,83.51
24,4.42902139802734,83.25221668907129,76.13
20,7.1305849376919,94.52554087956015,104.79
23,6.707995572989803,95.21439874553667,84.13
18,8.577187714650925,69.46740774728315,90.73
21,6.133788141574175,96.30774825394185,88.72
19,4.670999131676191,83.67554955285138,75.04
21,4.714018130584947,74.00872986801254,67.26
19,1.1308596089979006,88.327247823328,36.19
23,5.301318086966561,79.26667951856462,76.6
23,4.968570120295107,75.11950360489018,68.83
23,2.33985186897043,88.20337457186639,52.97
19,4.949424748857744,69.94896617721152,56.19
21,7.6863364245935575,73.21010116076394,94.76
23,3.530904700104947,77.37807377953085,59.92
22,3.0802107357721873,70.14728695492555,61.68
24,7.209856436900298,76.20808347125669,87.79
19,6.268480592528579,82.85892100820043,86.12
19,11.12219042875652,89.63895443642673,128.99
21,2.3628596784837748,90.68779412434287,46.45
19,6.440774484076393,92.91161407506772,101.77
19,5.631781814304632,89.76846627773192,78.81
23,5.118562568106392,87.24157708387636,78.32
21,6.821024436989336,69.5002588516988,85.57
23,4.94054928462522,76.008915714881,65.85
24,1.1272475800307995,79.1085956352091,49.9
24,3.305284943774713,63.31565286773417,53.1
23,7.728866894640637,81.13480485188836,93.22
24,7.344057807608801,77.45343326426223,90.43
21,4.253761620699274,92.08436996106937,74.69
18,6.007194128289635,99.11602675017083,87.76
23,10.567876092979674,82.24020154570339,121.85
22,4.937626403666312,72.90745553110335,60.24
22,4.976833360436013,61.73603133192691,60.77
19,5.381197410229046,96.98573320894384,71.15
24,6.21395141913725,96.76462861114638,98.4
22,4.302197634454497,70.11960671956965,72.39
19,6.212258726198169,87.81644492426591,87.96
18,1.1115408125008006,63.01738188359077,29.04
21,5.672797527572505,66.64861727637012,83.99
21,5.101259621830333,68.67236426345966,65.26
21,4.565086046191952,71.7797578735772,64.17
22,4.049485303199049,99.83325500117482,73.13
18,3.781253248231173,87.87700223455259,67.66
22,3.3729578060799534,75.3680732551688,60.35
24,0.3638635036243425,89.48402823372078,42.12
22,4.4639632963142555,96.61017366676425,73.63
18,7.192659579082178,98.34809629631386,100.22
18,4.329177951858321,62.31455591030829,58.61
